lookback_days,S0,sigma_ann,r_ann,q_div,N,strike,option_type,european_price,american_price,early_ex_premium
20,25.709999084472656,0.2830598713297841,0.03753000020980835,0.03,500,25.0,call,3.2158207971296298,3.225014273018501,0.009193475888871205
20,25.709999084472656,0.2830598713297841,0.03753000020980835,0.03,500,25.0,put,2.344805071057625,2.3732383883602575,0.02843331730263232
20,25.709999084472656,0.2830598713297841,0.03753000020980835,0.03,500,26.0,call,2.7688038896534484,2.775656990059083,0.006853100405634471
20,25.709999084472656,0.2830598713297841,0.03753000020980835,0.03,500,26.0,put,2.8609536857011113,2.898653718048388,0.03770003234727648
20,25.709999084472656,0.2830598713297841,0.03753000020980835,0.03,500,27.0,call,2.3695451420093137,2.374675014684628,0.005129872675314395
20,25.709999084472656,0.2830598713297841,0.03753000020980835,0.03,500,27.0,put,3.4248604601766477,3.47415633099273,0.04929587081608222
40,25.709999084472656,0.24551236493811457,0.03753000020980835,0.03,500,25.0,call,2.8561879121754363,2.8629430000902665,0.006755087914830149
40,25.709999084472656,0.24551236493811457,0.03753000020980835,0.03,500,25.0,put,1.9851721861034466,2.0107212851920964,0.025549099088649774
40,25.709999084472656,0.24551236493811457,0.03753000020980835,0.03,500,26.0,call,2.3975310186172853,2.4022871907880194,0.0047561721707340965
40,25.709999084472656,0.24551236493811457,0.03753000020980835,0.03,500,26.0,put,2.4896808146649647,2.5250071557991096,0.0353263411341449
40,25.709999084472656,0.24551236493811457,0.03753000020980835,0.03,500,27.0,call,1.9971613889011877,2.000506196552863,0.00334480765167533
40,25.709999084472656,0.24551236493811457,0.03753000020980835,0.03,500,27.0,put,3.052476707068534,3.100283539537988,0.047806832469454275
60,25.709999084472656,0.30269409850783063,0.03753000020980835,0.03,500,25.0,call,3.4036297662539945,3.414128540209323,0.010498773955328389
60,25.709999084472656,0.30269409850783063,0.03753000020980835,0.03,500,25.0,put,2.53261404018198,2.5625731428867082,0.029959102704728124
60,25.709999084472656,0.30269409850783063,0.03753000020980835,0.03,500,26.0,call,2.962534316225171,2.9705405818104746,0.008006265585303485
60,25.709999084472656,0.30269409850783063,0.03753000020980835,0.03,500,26.0,put,3.0546841122728523,3.093661824602879,0.03897771233002656
60,25.709999084472656,0.30269409850783063,0.03753000020980835,0.03,500,27.0,call,2.5660457677638635,2.5721798486487835,0.006134080884919957
60,25.709999084472656,0.30269409850783063,0.03753000020980835,0.03,500,27.0,put,3.621361085931239,3.6714421448717864,0.050081058940547596
